	04003186.kraken.report_bracken_species	04014599.kraken.report_bracken_species	04018722.kraken.report_bracken_species	04023356.kraken.report_bracken_species	04023518.kraken.report_bracken_species	04024973.kraken.report_bracken_species	04031150.kraken.report_bracken_species	04037900.kraken.report_bracken_species	04038716.kraken.report_bracken_species	04046046.kraken.report_bracken_species	04063256.kraken.report_bracken_species	04068115.kraken.report_bracken_species	04069861.kraken.report_bracken_species	04075146.kraken.report_bracken_species	04077278.kraken.report_bracken_species	04079838.kraken.report_bracken_species	04082908.kraken.report_bracken_species	04085946.kraken.report_bracken_species	04086520.kraken.report_bracken_species	04099876.kraken.report_bracken_species	04118811.kraken.report_bracken_species	04122111.kraken.report_bracken_species	04132471.kraken.report_bracken_species	04148641.kraken.report_bracken_species	04159942.kraken.report_bracken_species	04167474.kraken.report_bracken_species	04168812.kraken.report_bracken_species	04178089.kraken.report_bracken_species	04182411.kraken.report_bracken_species	04205458.kraken.report_bracken_species	04214331.kraken.report_bracken_species	04219292.kraken.report_bracken_species	04220119.kraken.report_bracken_species	04220600.kraken.report_bracken_species	04221556.kraken.report_bracken_species	04221943.kraken.report_bracken_species	04222003.kraken.report_bracken_species	04225155.kraken.report_bracken_species	04225432.kraken.report_bracken_species	04226995.kraken.report_bracken_species	04236917.kraken.report_bracken_species	04241347.kraken.report_bracken_species	04251349.kraken.report_bracken_species	04253668.kraken.report_bracken_species	04253936.kraken.report_bracken_species	04258894.kraken.report_bracken_species	04260238.kraken.report_bracken_species	04272955.kraken.report_bracken_species	04276274.kraken.report_bracken_species	04277092.kraken.report_bracken_species	04287603.kraken.report_bracken_species	04288878.kraken.report_bracken_species	04289518.kraken.report_bracken_species	04297512.kraken.report_bracken_species	04300201.kraken.report_bracken_species	04308139.kraken.report_bracken_species	04308973.kraken.report_bracken_species	04309311.kraken.report_bracken_species	04317291.kraken.report_bracken_species	04324931.kraken.report_bracken_species	04334129.kraken.report_bracken_species	04343001.kraken.report_bracken_species	04348603.kraken.report_bracken_species	04349732.kraken.report_bracken_species	04358531.kraken.report_bracken_species	04365141.kraken.report_bracken_species	04369157.kraken.report_bracken_species	04375131.kraken.report_bracken_species	04376417.kraken.report_bracken_species	04377895.kraken.report_bracken_species	04395079.kraken.report_bracken_species	04395966.kraken.report_bracken_species	04404154.kraken.report_bracken_species	04411609.kraken.report_bracken_species	04412786.kraken.report_bracken_species	04420190.kraken.report_bracken_species	04421441.kraken.report_bracken_species	04432209.kraken.report_bracken_species	04435618.kraken.report_bracken_species	04442713.kraken.report_bracken_species	04447772.kraken.report_bracken_species	04473311.kraken.report_bracken_species	04490447.kraken.report_bracken_species	04490971.kraken.report_bracken_species	04496787.kraken.report_bracken_species	04519622.kraken.report_bracken_species	04524799.kraken.report_bracken_species	04535549.kraken.report_bracken_species	04540284.kraken.report_bracken_species	04544177.kraken.report_bracken_species	04545616.kraken.report_bracken_species	04547392.kraken.report_bracken_species	04554614.kraken.report_bracken_species	04558599.kraken.report_bracken_species	04561334.kraken.report_bracken_species	04591234.kraken.report_bracken_species	04596228.kraken.report_bracken_species	04598494.kraken.report_bracken_species	04605581.kraken.report_bracken_species	04612165.kraken.report_bracken_species	04613195.kraken.report_bracken_species	04627490.kraken.report_bracken_species	04628434.kraken.report_bracken_species	04628962.kraken.report_bracken_species	04646821.kraken.report_bracken_species	04676011.kraken.report_bracken_species	04713011.kraken.report_bracken_species	04729044.kraken.report_bracken_species	04746461.kraken.report_bracken_species	04755264.kraken.report_bracken_species	04766112.kraken.report_bracken_species	04769418.kraken.report_bracken_species	04772056.kraken.report_bracken_species	04774937.kraken.report_bracken_species	04775318.kraken.report_bracken_species	04776184.kraken.report_bracken_species	04785218.kraken.report_bracken_species	04785256.kraken.report_bracken_species	04797503.kraken.report_bracken_species
92644	3	3	0	0	27	0	13	0	2	0	0	0	0	3	2	0	7	0	13	0	0	0	0	11	1	0	20	0	8	0	1	0	6	0	0	7	6	2	0	0	0	0	1	5	3	0	3	2	2	2	3	0	2	0	1	3	0	0	0	0	0	1	0	0	0	23	8	1	10	11	24	0	1	0	0	0	2	0	22	1	5	0	0	0	0	0	0	0	0	23	17	0	0	0	1	3	4	3	0	4	11	0	0	8	4	0	3	2	0	4	0	0	0	0	0	3	0	0	0
1535768	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	2	1	0	1	1	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	2
38300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
33903	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1
408015	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	2	0	0	2	2	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	6	0	0	1
1930	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	2	0	3	0	0	2
68209	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0
1912	0	0	0	3	2	1	5	1	0	2	0	0	0	1	1	0	2	3	1	0	1	1	3	1	0	1	12	2	2	2	4	0	1	0	1	1	0	4	0	1	0	2	3	0	1	1	1	0	3	1	2	0	0	13	9	3	0	0	3	0	9	3	1	1	11	0	2	5	9	2	4	0	9	0	1	2	2	0	0	0	0	0	2	0	4	3	0	2	0	2	0	0	0	7	0	5	12	4	0	1	0	0	2	0	2	0	3	5	0	1	0	0	0	4	0	3	4	0	14
553510	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	2	0	0	2	2	1	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
348043	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	1
1950	1	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	1	2	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	5	4	0	2	0	0	0	2	0	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	1	1	4	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1
68570	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	2	0	0	3	2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
285473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42684	0	0	0	1	0	0	0	0	1	2	0	0	0	1	2	0	1	0	0	0	1	0	0	1	0	1	0	1	0	5	1	0	0	4	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	2	0	1	1	0	0	1	0	2	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	2	2	0	2	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	1
67267	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	1	0	2	1	3	0	1	0	0	0	0	1	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	1	3	0	0	2	0	0	0	0	2	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1
285450	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	8	0	0	0
68202	0	3	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	3	0	2	0	0	0	3	1	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	2	0	4	0	0	0	2	0	9	0	0	3
68249	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018025	0	0	0	6	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	3	2	1	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	3	0	0	1	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0
2066	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	4	3	1	7	0	0	0	1	0	0	4	1	1	0	0	0	0	1	3	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	5	0	0	2	0	1	0	1	0	1	2	0	0	0	2	0	0	0	14	0	0	0
2126346	1	0	0	0	0	1	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	1	1	0	4	0	2	0	3	0	0	1	0	4	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	8	0	0	0
712122	1	0	1	2	0	4	8	1	1	1	6	0	0	1	3	4	6	4	5	0	1	0	0	8	2	4	4	3	11	3	2	4	3	47	1	4	5	4	3	1	1	4	1	8	1	1	30	0	3	1	11	0	1	14	1	1	0	0	6	10	3	3	5	2	0	2	1	7	3	7	0	3	5	9	3	3	1	1	4	9	4	0	2	3	0	1	1	1	2	3	22	0	3	2	2	9	11	4	37	1	5	30	3	1	2	1	0	3	2	4	1	6	1	1	13	13	3	0	0
2081702	4	0	0	3	2	0	2	2	0	0	0	0	2	0	1	0	5	1	6	0	0	0	0	2	1	2	2	3	1	0	0	0	1	1	0	0	0	2	0	0	2	6	0	1	1	0	7	0	0	1	5	0	0	2	0	2	0	0	0	6	0	2	0	0	0	0	0	3	0	1	0	2	3	7	0	0	3	1	2	0	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0	3	0	1	8	0	3	2	3	0	0	0	0	1	0	1	0	2	0	1	2	4	0	0	0
2079536	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	6	2	2	0	1	0	1	1	0	0	2	0	2	0	0	0	3	2	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	1	0	1	1	0	3	2	0	1	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
2321394	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	2	0	2	2	0	0	0	0	0	1	0	1	1	2	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	2	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
1851395	4	3	0	3	1	1	0	1	0	0	6	0	2	1	0	0	0	7	4	5	4	0	6	1	1	0	1	1	0	0	0	1	0	9	0	0	2	0	0	1	0	3	0	1	2	5	5	0	1	1	4	0	0	0	0	1	0	0	2	0	4	1	0	0	2	0	4	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	1	0	1	3	0	1
544580	3	0	2	0	0	0	3	0	0	1	0	0	8	1	0	1	11	2	31	2	0	0	0	0	0	13	1	1	1	0	0	0	0	12	0	0	10	0	0	0	0	21	15	10	2	2	7	0	2	1	9	0	0	3	0	1	0	0	5	5	1	1	2	0	1	0	0	1	1	2	0	2	13	13	0	1	1	0	1	1	2	0	0	2	0	8	5	0	3	0	33	2	1	1	0	2	1	1	5	1	0	0	1	0	1	2	0	1	10	1	2	2	9	0	1	4	1	0	0
178339	5	0	2	1	0	1	6	0	0	2	2	0	1	2	0	0	3	3	4	0	1	0	2	0	0	0	5	1	1	0	1	3	0	10	0	0	3	2	0	2	0	10	4	2	1	5	2	1	1	0	2	0	2	2	1	0	0	0	1	5	1	1	1	1	1	0	1	0	0	1	0	1	7	1	1	0	0	1	0	3	0	0	1	4	0	2	0	0	0	0	5	0	0	0	0	3	3	1	4	1	1	5	0	0	1	0	0	4	2	1	1	3	1	1	2	3	0	0	0
1852377	2	1	2	0	2	1	0	4	0	0	4	0	6	1	0	2	1	5	2	0	0	0	6	3	0	0	8	1	2	4	1	3	1	18	0	1	9	3	0	0	11	1	8	5	2	9	8	1	2	0	9	2	3	6	0	2	3	2	8	3	1	1	2	0	1	3	0	14	3	2	0	4	3	20	0	0	4	0	0	0	1	1	5	6	1	6	1	2	5	2	4	0	0	0	2	3	6	2	4	0	1	7	0	2	0	1	2	5	6	9	7	4	12	3	3	18	2	2	1
111015	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	7	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	4	4	3	1	0	2	3	0	0	4	0	0	0	2	3	0	0	1	1	2	1	0	1	0	0	1	0	0	3	0	2	1	0	1	0	1	0	0	0	0	0	0	2	1	1	4	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2
1960083	2	1	0	1	0	2	5	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	2	3	0	3	2	0	2	4	0	1	1	2	0	0	0	5	3	3	0	1	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	1	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0	2	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	0	0	0
1912795	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
52773	0	0	3	0	1	0	2	3	1	0	0	0	4	0	0	0	1	3	3	0	0	0	1	2	1	3	7	1	2	2	0	0	0	11	4	0	4	2	0	0	0	1	3	4	0	6	3	0	2	0	5	0	1	1	0	0	0	1	3	8	3	3	4	0	0	0	1	2	0	3	0	0	14	7	0	0	1	0	1	4	1	0	1	4	0	3	0	0	1	1	7	0	1	0	0	2	0	1	0	2	2	2	0	0	0	1	0	0	1	1	1	4	3	0	1	12	1	2	0
1661	0	1	1	6	5	1	1	1	1	4	8	1	6	3	3	0	3	3	2	4	2	0	7	1	0	3	10	19	6	1	0	3	0	11	0	5	4	0	1	3	1	7	3	2	0	10	2	0	0	0	6	0	0	0	1	1	0	0	4	0	3	2	6	1	4	7	0	2	3	2	0	0	4	0	0	0	6	0	3	0	0	0	3	0	1	1	0	1	0	4	0	0	0	0	0	6	2	4	0	3	8	0	6	0	2	1	6	5	2	6	0	2	0	3	0	1	0	0	1
131112	0	0	0	0	15	1	10	0	0	0	0	0	1	8	1	0	1	0	9	1	0	0	0	0	0	14	2	0	7	0	0	0	0	3	0	7	3	0	0	0	0	2	3	3	0	0	0	0	1	0	6	0	0	0	0	0	1	0	3	0	1	1	0	9	2	13	0	0	4	2	13	8	3	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	1	4	4	0	0	3	0	2	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	12
28264	0	0	0	0	6	0	3	0	0	0	0	0	2	0	0	0	4	0	3	1	0	0	0	1	0	4	5	0	1	0	0	0	0	1	1	3	4	1	0	0	0	0	0	1	1	4	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	1	8	6	0	4	4	5	0	2	3	0	0	1	0	4	1	0	0	0	0	2	1	0	0	0	2	4	0	0	0	0	0	1	1	1	0	1	0	6	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	4
59505	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2051	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	4	0	0	0	1	0	2	0	1	2	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
2161816	1	0	0	1	1	0	1	0	1	1	1	0	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	1	1	0	3	1	0	0	2	0	0	0	0	0	0	3	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	2	0	0	0
1332264	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	1	0	3	0	0	0	0	0
1909732	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	4	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1
399497	0	0	0	1	0	3	3	0	0	2	2	0	0	0	0	0	0	2	1	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	3	1	1	3	0	0	0	0	0	2	1	2	0	0	2	0	0	0	0	1	2	0	4	1	0	0	0	0	1	2	0	0	2	0	1	3	1	0	0	0	2	1	0	0	1	4	1	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	1	0	0	3
1610493	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	2	3	0	0	0	1	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33010	2	2	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	2	1	0	0	1	0	2	1	0	1	0	0	0	0	1	3	3	0	0	0	1	0	1	0	2	2	2	2	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	5	0	1	0	0	3	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	2	0	1	0	2	0	2	0	0	0	0	0
1747	0	4	0	0	14	2	1	6	4	2	1	0	2	18	0	0	3	2	1	1	2	2	1	0	0	0	0	2	1	0	1	3	0	3	2	2	0	1	0	1	2	0	1	0	4	4	0	0	3	0	5	5	1	0	1	2	4	0	1	7	4	1	2	1	0	1	0	1	7	1	2	3	2	0	5	0	0	4	13	3	0	2	3	3	2	0	1	0	1	3	3	6	5	4	0	0	0	0	1	1	5	0	0	0	2	1	0	2	0	2	2	4	0	0	3	3	0	3	0
33011	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	1	0	3	0	0	1	0	1	0	1	0	1	0	0	5	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	13	0	0	0
1744	0	0	0	0	2	2	2	0	1	0	0	0	0	0	1	0	1	1	3	0	2	0	2	3	1	1	7	1	0	0	2	2	0	1	2	3	0	3	0	2	0	3	0	4	1	2	3	0	1	0	2	0	0	1	1	1	0	0	1	0	0	2	0	1	4	0	1	0	2	2	2	0	3	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	5	3	1	0	2	0	2	1	1	0	0	0	0	2	0	4	0	1	0	0	3	0	2	0	3	0	3	0	0	2
1748	0	1	0	3	0	2	2	0	1	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	1	3	0	1	1	2	0	0	1	0	2	0	0	0	0	0	1	0	2	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	2	1	0	1	0	2	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	0	0	1	0	1	2	3	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	3
2057246	0	1	0	3	3	2	5	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	2	0	2	0	2	2	0	2	0	2	0	1	0	2	1	0	4	3	0	0	4	1	1	1	3	0	0	0	1	0	0	0	0	0	1	0	3	4	2	1	3	0	0	1	0	0	3	0	2	1	2	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	3	1	1	3	0	0	0	0	0	0	1	0	1	2	0	3	0	2	0	2	1	0	0	0	0
29405	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	1	0	0	0	1	2	0	1	0	1	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	3	0	0	0	0	0	0	0	1	2	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	3	0	0	0	0	1
